"Source","Traget","Year"
433174,433174,1987
425036,425036,2012
129233,129233,1999
129233,195852,1999
129233,486480,1999
129233,394544,1999
129233,116892,1999
129233,129240,1999
129233,195852,1999
129233,486480,1999
129233,394544,1999
129233,116892,1999
129233,129240,1999
195852,486480,1999
195852,394544,1999
195852,116892,1999
195852,129240,1999
486480,394544,1999
486480,116892,1999
486480,129240,1999
394544,116892,1999
394544,129240,1999
116892,129240,1999
129233,129233,2003
129233,195852,2003
129233,486480,2003
129233,394544,2003
129233,116892,2003
129233,129239,2003
129233,129271,2003
129233,129272,2003
129233,606180,2003
129233,195852,2003
129233,486480,2003
129233,394544,2003
129233,116892,2003
129233,129239,2003
129233,129271,2003
129233,129272,2003
129233,606180,2003
195852,486480,2003
195852,394544,2003
195852,116892,2003
195852,129239,2003
195852,129271,2003
195852,129272,2003
195852,606180,2003
486480,394544,2003
486480,116892,2003
486480,129239,2003
486480,129271,2003
486480,129272,2003
486480,606180,2003
394544,116892,2003
394544,129239,2003
394544,129271,2003
394544,129272,2003
394544,606180,2003
116892,129239,2003
116892,129271,2003
116892,129272,2003
116892,606180,2003
129239,129271,2003
129239,129272,2003
129239,606180,2003
129271,129272,2003
129271,606180,2003
129272,606180,2003
266324,22664,1990
266324,22665,1990
266324,22665,1990
22664,22665,1990
22664,22665,1990
22665,22665,1990
502042,279684,2011
502042,228500,2011
502042,502043,2011
502042,299963,2011
502042,502044,2011
502042,331480,2011
502042,188652,2011
502042,226327,2011
502042,479467,2011
502042,331481,2011
502042,411298,2011
502042,502045,2011
502042,309345,2011
502042,502046,2011
502042,502047,2011
502042,502048,2011
502042,503572,2011
502042,279683,2011
502042,502050,2011
502042,502051,2011
502042,502052,2011
502042,299969,2011
502042,502053,2011
502042,502054,2011
279684,228500,2011
279684,502043,2011
279684,299963,2011
279684,502044,2011
279684,331480,2011
279684,188652,2011
279684,226327,2011
279684,479467,2011
279684,331481,2011
279684,411298,2011
279684,502045,2011
279684,309345,2011
279684,502046,2011
279684,502047,2011
279684,502048,2011
279684,503572,2011
279684,279683,2011
279684,502050,2011
279684,502051,2011
279684,502052,2011
279684,299969,2011
279684,502053,2011
279684,502054,2011
228500,502043,2011
228500,299963,2011
228500,502044,2011
228500,331480,2011
228500,188652,2011
228500,226327,2011
228500,479467,2011
228500,331481,2011
228500,411298,2011
228500,502045,2011
228500,309345,2011
228500,502046,2011
228500,502047,2011
228500,502048,2011
228500,503572,2011
228500,279683,2011
228500,502050,2011
228500,502051,2011
228500,502052,2011
228500,299969,2011
228500,502053,2011
228500,502054,2011
502043,299963,2011
502043,502044,2011
502043,331480,2011
502043,188652,2011
502043,226327,2011
502043,479467,2011
502043,331481,2011
502043,411298,2011
502043,502045,2011
502043,309345,2011
502043,502046,2011
502043,502047,2011
502043,502048,2011
502043,503572,2011
502043,279683,2011
502043,502050,2011
502043,502051,2011
502043,502052,2011
502043,299969,2011
502043,502053,2011
502043,502054,2011
299963,502044,2011
299963,331480,2011
299963,188652,2011
299963,226327,2011
299963,479467,2011
299963,331481,2011
299963,411298,2011
299963,502045,2011
299963,309345,2011
299963,502046,2011
299963,502047,2011
299963,502048,2011
299963,503572,2011
299963,279683,2011
299963,502050,2011
299963,502051,2011
299963,502052,2011
299963,299969,2011
299963,502053,2011
299963,502054,2011
502044,331480,2011
502044,188652,2011
502044,226327,2011
502044,479467,2011
502044,331481,2011
502044,411298,2011
502044,502045,2011
502044,309345,2011
502044,502046,2011
502044,502047,2011
502044,502048,2011
502044,503572,2011
502044,279683,2011
502044,502050,2011
502044,502051,2011
502044,502052,2011
502044,299969,2011
502044,502053,2011
502044,502054,2011
331480,188652,2011
331480,226327,2011
331480,479467,2011
331480,331481,2011
331480,411298,2011
331480,502045,2011
331480,309345,2011
331480,502046,2011
331480,502047,2011
331480,502048,2011
331480,503572,2011
331480,279683,2011
331480,502050,2011
331480,502051,2011
331480,502052,2011
331480,299969,2011
331480,502053,2011
331480,502054,2011
188652,226327,2011
188652,479467,2011
188652,331481,2011
188652,411298,2011
188652,502045,2011
188652,309345,2011
188652,502046,2011
188652,502047,2011
188652,502048,2011
188652,503572,2011
188652,279683,2011
188652,502050,2011
188652,502051,2011
188652,502052,2011
188652,299969,2011
188652,502053,2011
188652,502054,2011
226327,479467,2011
226327,331481,2011
226327,411298,2011
226327,502045,2011
226327,309345,2011
226327,502046,2011
226327,502047,2011
226327,502048,2011
226327,503572,2011
226327,279683,2011
226327,502050,2011
226327,502051,2011
226327,502052,2011
226327,299969,2011
226327,502053,2011
226327,502054,2011
479467,331481,2011
479467,411298,2011
479467,502045,2011
479467,309345,2011
479467,502046,2011
479467,502047,2011
479467,502048,2011
479467,503572,2011
479467,279683,2011
479467,502050,2011
479467,502051,2011
479467,502052,2011
479467,299969,2011
479467,502053,2011
479467,502054,2011
331481,411298,2011
331481,502045,2011
331481,309345,2011
331481,502046,2011
331481,502047,2011
331481,502048,2011
331481,503572,2011
331481,279683,2011
331481,502050,2011
331481,502051,2011
331481,502052,2011
331481,299969,2011
331481,502053,2011
331481,502054,2011
411298,502045,2011
411298,309345,2011
411298,502046,2011
411298,502047,2011
411298,502048,2011
411298,503572,2011
411298,279683,2011
411298,502050,2011
411298,502051,2011
411298,502052,2011
411298,299969,2011
411298,502053,2011
411298,502054,2011
502045,309345,2011
502045,502046,2011
502045,502047,2011
502045,502048,2011
502045,503572,2011
502045,279683,2011
502045,502050,2011
502045,502051,2011
502045,502052,2011
502045,299969,2011
502045,502053,2011
502045,502054,2011
309345,502046,2011
309345,502047,2011
309345,502048,2011
309345,503572,2011
309345,279683,2011
309345,502050,2011
309345,502051,2011
309345,502052,2011
309345,299969,2011
309345,502053,2011
309345,502054,2011
502046,502047,2011
502046,502048,2011
502046,503572,2011
502046,279683,2011
502046,502050,2011
502046,502051,2011
502046,502052,2011
502046,299969,2011
502046,502053,2011
502046,502054,2011
